NICKstateNAME                   2007/ind/igate224.tou 20070112
THUN --- Tony Hunt               8 2262 20061128
GASI --- Ganesh Asirvatham     459 2211 20061205
CMAY --- Chris May              92 2192 20061205
EKAR --- Eta Karo               24 2162 20060924
NRIC --- Nigel Richards        480 2159 20061205
MQUR --- Mazher Qureshi          6 2139 20011012
TSAH --- Tayo Saheed            24 2127 20060924
ALOG --- Adam Logan            141 2119 20051119
KMCC --- Kay McColgan           12 2111 20061201
PSUJ --- Panupol Sujjayakorn   277 2104 20061205
OOTE --- Onota Oteheri          24 2104 20060924
RTIE --- Ron Tiekert            59 2102 19991106
PNEM --- Pakorn Nemitrmansuk   409 2090 20070112
WJIG --- Wellington Jighere     24 2087 20060924
NFER --- Naween Fernando       272 2084 20061205
KPAN --- Komol Panyasoponlert  239 2084 20060702
APHI --- Adam Philpotts         12 2083 20061201
DIKE --- Dennis Ikekeregor     105 2077 20060924
AFIS --- Andrew Fisher         293 2076 20061205
PARM --- Peter Armstrong        24 2076 20051119
DBOY --- David Boys            135 2074 20051119
EAQU --- Edet Aquaisua          24 2071 20060924
APER --- Andrew Perry           48 2070 20031023
JDYM --- Jack Dymond           241 2067 20041126
SFOS --- Simon Foskett           6 2066 19991031
FIBU --- Faloye Ibukun          24 2062 20060924
OTIM --- Olaitan Timi           24 2059 20060924
BBER --- Barbara Berlin         38 2056 19991106
BCAP --- Brian Cappelletto     105 2055 20011216
SDUR --- Segun Durojaiye        48 2055 20060924
VMOR --- Virgilio Morales      118 2051 19980920
EOKU --- Edward Okulicz        116 2051 20061205
JWAP --- Joel Wapnick          150 2047 20051119
CIKO --- Clement Ikolo          24 2045 19980412
MSAN --- Moshood Sanni          96 2044 20041003
YTAK --- Yawo Takyi Ananga      93 2042 20051119
OAVW --- Oshevire Avwenagha     24 2042 20060924
CSUK --- Charnwit Sukhu        287 2039 20060702
JMCK --- Julian McKail          48 2036 20061106
FAWO --- Femi Awowade          442 2035 20060924
HWAR --- Howard Warner         310 2035 20061106
DWIE --- David Wiegand          96 2035 20051119
DELD --- David Eldar           166 2033 20061205
BSMI --- Brett Smitheram        84 2033 20061201
ACHA --- Amit Chakrabarti       62 2033 20050703
ASAK --- Atiruth Sakdiyakorn    77 2030 20060702
ADAV --- Andrew Davis           72 2030 20051119
ASAL --- Alan Saldanha          57 2029 19971127
MNYM --- Mark Nyman            257 2027 20051119
COKW --- Chinedu Okwelogu       48 2027 20021020
CSIU --- Cheah Siu Hean        517 2023 20061205
PCLE --- Paul Cleary           311 2022 20051119
WFAS --- Wale Fashina           48 2022 19991106
JKLA --- Jakkrit Klaphajone    320 2020 20060702
GWIL --- Gareth Williams       188 2020 20061201
PAPP --- Phil Appleby          121 2020 20051119
MQUA --- Michael Quao          144 2018 20060924
JEDL --- Joe Edley             128 2017 20011216
JKRA --- James Kramer           88 2017 20051119
PALL --- Paul Allan             87 2014 20051119
ORIO --- Odette Rio            300 2010 20061205
JSHE --- Joel Sherman          221 2010 20051119
RBYE --- Russell Byers         105 2010 20051119
SOKO --- Sammy Okosagah         63 2009 20011216
TADA --- Timothy Adamson        86 2007 20051119
ACOO --- Andrew Cook            24 2007 19991106
HGIP --- Helen Gipson          150 2005 20070112
SPOL --- Steve Polatnick       170 2004 20051119
DACT --- David Acton            53 2004 20050226
ABHA --- Akshay Bhandarkar     225 1996 20070112
MKIM --- Macharia Kimani        66 1996 20041003
JSCA --- Jimmy Scarff           24 1995 19981123
IISM --- Idrus Ismail           18 1995 19980920
RLIN --- Robert Linn            40 1994 20031023
JGRA --- Jeff Grant            296 1993 20061106
JMAL --- Joey Mallick           48 1992 20051119
JGEA --- Jim Geary             101 1991 20031023
MGRA --- Matt Graham            63 1991 20011216
PNDE --- Patrick Nderitu        57 1991 19971127
DGIB --- Dave Gibson            15 1990 19930830
STHO --- Shafique Thobani       77 1987 19991106
ATOR --- Asimiea Torisetju      24 1987 19980412
BJAC --- Bob Jackman           374 1983 20061106
NSCO --- Neil Scott             42 1982 20061201
ASHI --- Austin Shin            67 1976 20061205
HLAM --- Harshan Lamabad       101 1975 20051119
JLUE --- John Luebkemann       111 1974 20051119
JO'L --- John O'Laughlin        74 1974 20051119
SOSH --- Sunday Oshodi          96 1972 20060924
VQUI --- Virgilio Quiballo      78 1970 20020707
BSCH --- Bob Schoenman          18 1970 19930830
BLIP --- Bob Lipton            161 1969 20050703
IONY --- Ifeanyi Onyeonwu       39 1967 19971127
AKUR --- Andy Kurnia           354 1965 20061205
SNJO --- Stanley Njoroge       152 1965 20050327
RLUN --- Richard Lund           18 1965 19930830
AADE --- Ayox Adekunle          48 1964 20041003
DESA --- Dokun Esan             24 1963 20000423
CTAC --- Charles Tachie         24 1959 20060924
JMEA --- Jere Mead              45 1956 20011216
PNEL --- Phil Nelkon            27 1955 20031018
DSAL --- Dean Saldanha          95 1954 20051119
THAL --- Trevor Halsall        155 1953 20061129
MBRO --- Maurice Brown          16 1953 20030630
LOWO --- Lukeman Owolabi        48 1952 20051119
PDOW --- Penny Downer           21 1951 19971127
DDEN --- Di Dennis              42 1949 20031023
PMOR --- Peter Morris           18 1949 19930830
