European Open Scrabble Championship
2013-05-14
Section A
NAME                  RECORD     SPREAD  OLD RAT  NEW RAT
Helen Gipson          24.0-8.0      2207     2006     2111
David Eldar           23.0-7.0      2304     2095     2171
Chinedu Okwelogu      21.0-11.0     1729     1957     2044
Steve Polatnick       21.0-11.0      307     1877     1863
Sam Kantimathi        20.0-12.0     1068     1835     1807
Theresa Brousson      19.5-12.5     1001     1915     1952
Tony Sim              19.5-12.5      918     1843     1905
Ray Tate              19.5-12.5      596     1658     1670
Nuala O'Rourke        19.0-13.0      799     1699     1684
Nicky Huitson         19.0-13.0      697     1396     1529
Cecil Muscat          19.0-13.0      540     1772     1755
Jayne Mackenzie       19.0-13.0      350     1603     1603
Howard Wilde          18.0-14.0     1851     1875     1944
John Barker           18.0-14.0     -552     1536     1576
Kevin Synnott         17.5-14.5     1059     1626     1595
Jojo Delia            17.5-14.5      859     1765     1724
Winter Zxqkj          17.5-14.5      396     1927     1774
Pramit Kamath         17.5-14.5      232     1627     1507
Eileen Meghen         17.0-15.0      988     1573     1573
Mario Saliba          17.0-15.0      760     1526     1550
Simon Gillam          17.0-15.0      501     1729     1736
Jean McArthur         17.0-15.0      305     1616     1701
Dan Sandu             17.0-15.0       77     1664     1609
Dave Hoskisson        17.0-15.0     -210     1433     1429
Chris Lipe            16.5-15.5     1285     1972     1976
Pam Morris            16.5-15.5      725     1547     1547
Martin Waterworth     16.0-16.0     -773     1407     1375
Albert Zammit         16.0-16.0     -852     1389     1319
Mary Morgan           15.5-16.5     -440     1262     1354
Pawlu Frendo          15.5-16.5     -603     1277     1287
Paul Mifsud           15.0-17.0     -509     1310     1335
Reno Zammit           14.0-18.0    -1028     1042     1209
Anlaug Frydenlund     13.5-18.5      -86     1253     1349
Joe Caruana           13.5-18.5     -342     1280     1347
Nancy Alroy           13.0-19.0     -343     1210     1320
Tadao Takeda          12.5-19.5    -1132     1116     1221
Alfred Xuereb         12.0-20.0     -382     1202     1322
Mary Doyle            11.5-20.5     -171     1353     1371
Breda O'Brien         10.0-23.0    -3371     1340      920
Taral Seierstad       9.5-22.5     -2445     1158     1020
Nicky Vella Laurenti  8.5-13.5     -1526     1570     1006
David Delicata        7.5-7.5        -80     1862     1705
Paula Docherty        7.5-24.5     -1770     1120     1093
Eskil Aasmul          7.0-25.0     -1206     1315     1229
Marion Loewenstein    4.5-27.5     -3533      842      833
